ID,patent_title,patent_year,patent_abstract,label
11,Extending and maintaining micropore viability of microneedle treated skin with lipid biosynthesis inhibitors for sustained drug delivery,2018,"Microneedles and their use as a physical skin permeation enhancement technique facilitate drug delivery across the skin in therapeutically relevant concentrations. Micropores created in the skin by MNs reseal because of normal healing processes of the skin, thus limiting the duration of the drug delivery window. Pore lifetime enhancement strategies can increase effectiveness of MNs as a drug delivery mechanism by prolonging the delivery window. Fluvastatin (FLU) was used to enhance pore lifetime by inhibiting the synthesis of cholesterol, a major component of the stratum corneum lipids. The skin recovered within a 30-45-min time period following the removal of occlusion, and there was no significant irritation observed due to the treatment compared to the control sites. Thus, it can be concluded that localized skin treatment with FLU can be used to extend micropore lifetime and deliver drugs for up to 7 days across MN-treated skin.",True
12,Solid hemoglobin-polymer biophotonic phantoms and their use,2018,"Novel biophotonic phantoms are provided herein that can accurately mimic the optical properties of living tissue. The disclosed biophotonic phantoms comprise hemoglobin (Hb) in a native conformation that is distributed in a solid polymer matrix. Methods of producing the disclosed biophotonic phantoms are also provided. The biophotonic phantoms can be used, for example, to calibrate or test an optical imaging system, such as a near infrared spectroscopy imaging system.",False
13,"Directional surface plasmon coupled fluorescence and chemiluminescence from thin films of nickel, iron or palladium and uses thereof",2018,"Nickel, iron and palladium thin films thermally evaporated onto glass supports are used to demonstrate surface plasmon coupled fluorescence (SPCF) and surface plasmon couple chemiluminescence (SPCC) over a broad wavelength range (400-800 nm) for potential assays or other detection systems. Nickel, iron and palladium thin films used in SPCF and SPCC convert otherwise isotropic emission into highly directional and polarized emission, an attractive concept for surface assays. The emission angles of detected emissions occur over a 10 degree range for tested emitted wavelengths.",False
14,Metal-enhanced bioluminescence: an approach for monitoring biological bioluminescent processes,2018,"The present invention relates to surface plasmon-coupled bioluminescence, wherein bioluminescent emission from a bioluminescent chemical reaction couples to surface plasmons in metallized particles thereby enhancing the signal. Importantly, these plasmonic emissions emitted from metallic particles generated without an external excitation source but instead from induced electronically excited states caused by the bioluminescent chemical reaction.",False
15,"Nanodevice arrays for electrical energy storage, capture and management and method for their formation",2018,"An apparatus, system, and method are provided for a vertical two-terminal nanotube or microtube device configured to capture and generate energy, to store electrical energy, and to integrate these functions with power management circuitry. The vertical device can include a column disposed in a template material extending from one side of the template material to the other side of the template material. Further, the device can include a first material disposed within the column, a second material disposed within the column, and a third material disposed in the column. A variety of configurations, variations, and modifications are provided.",False
16,Neuroparticle with a spin-torque device,2018,"Disclosed embodiments enable determining and monitoring the location of at least one particle in a subject's body, as well as the status of a local environment within the body where the at least one particle is located.",False
17,Compositions and methods for making biodegradable structures,2018,"A composition including PPF or a PPF copolymer that can be used to fabricate biodegradable structures. The composition can be used in 3-D patterning (e.g., 3-D printing and sterolighography) methods. For example, 3-D patternable compositions include PPF or a PPF copolymer, a photoinitiator or photoinitiators, and a resolution control inhibitor or inhibitors. The compositions can be used to make biodegradable structures (such as cardivascular scaffolds). The biodegradable structures can be surface functionalized. The biodegradable structures can be used in methods of blood delivery in an individual.",False
18,Lambodies with high affinity and selectivity for glycans and uses therefor,2018,"The invention relates to dimeric proteins comprised of subunits having (i) recombinant lamprey variable lymphocyte receptor (VLR) diversity regions linked to (ii) multimerization domains. The dimeric proteins exhibit binding specificity for glycosylated antigens, and they may be used in methods of detecting or isolating glycans from a sample, and in methods of disease diagnosis, prognosis, progression monitoring, treatment, and imaging.",True
19,High efficiency solid fuel burning stove with optimized burning conditions and low level of emission,2018,A solid fuel stove uses a dynamically controlled Combustion Fan and a Smart Controller system for automatic regulation of combustion conditions through the controlled forced air circulation based on sensors readings. The stove also uses emission reducing and efficiency boosting equipment such as a co-axial stack heat recovery sub-system and a self-cleaning particulate collector with enhanced particulates trapping capabilities.,False
20,Multivalent live vector vaccine against Clostridium difficile-associated disease,2018,The invention relates to a multivalent Clostridium difficile vaccine comprising a Salmonella Typhi live vector comprising the cell binding domain of TcdA toxin (CBD/A) of Clostridium difficile or an antigenic fragment thereof and the cell binding domain of TcdB toxin (CBD/B) of Clostridium difficile or an antigenic fragment thereof and optionally the cell-binding subunit component (CdtB) of binary toxin of Clostridium difficile or an antigenic fragment thereof. The invention further provides methods of inducing an immune response and methods of preventing recurrence of C. difficile infections in subjects.,True
21,"Design, synthesis and methods of use of acyclic fleximer nucleoside analogues having anti-coronavirus activity",2018,"The present invention is directed to compounds, methods and compositions for treating or preventing viral infections using nucleosides analogs. Specifically, the present invention provides for the design and synthesis of acyclic fleximer nucleoside analogues having increased flexibility and ability to alter their conformation structures to provide increased antiviral activity potential with the result of inhibiting several coronaviruses.",True
22,Ultra-fast pathogen toxin detection assay based on microwave-accelerated metal-enhanced fluorescence,2018,"The present invention provides for a system and method to detect low levels of the anthrax protective antigen (PA) exotoxin in biological fluids, wherein the system uses a metal-enhanced fluorescence (MEF)-PA assay in combination with microwave-accelerated PA protein surface absorption. Microwave irradiation rapidly accelerates PA deposition onto the surface adjacent to deposited metallic particles and significantly speeding up the MEF-PA assay and resulting in a total assay run time of less than 40 min with an analytical sensitivity of less than 1 pg/ml PA.",False
23,Local engineering of the lymph node environment to promote immune tolerance,2018,"A method of inducing specific immune tolerance to myelin in an individual is provided. The method includes introducing directly into a lymph node of the individual an effective amount of a composition that contains a myelin antigen, a biodegradable material and at least one tolerogenic agent. The method is suitable for reducing the severity of symptoms of multiple sclerosis in individuals who suffer from primary-progressive multiple sclerosis (PPMS), and can halt or even reverse PPMS progression.",True
24,Method of coating of object,2018,"A method of coating a metallic object with a substantially invisible protective coating, wherein the coating comprises a first layer, a second layer, and a third layer, each layer comprising a metal oxide or a nitride. The method comprises placing the object in an atomic layer deposition (ALD) reactor; depositing a first layer comprising a metal oxide or a nitride on a surface of the object by ALD; depositing a second layer comprising a metal oxide or a nitride on the first layer by ALD; and depositing a third layer comprising a metal oxide or a nitride on the second layer by ALD, thereby forming the protective coating on the object.",False
25,Systems and methods using multi-wavelength single-pulse Raman spectroscopy,2018,"The invention provides methods and apparatus comprising a multi-wavelength laser source that uses a single unfocused pulse of a low intensity but high power laser over a large sample area to collect Raman scattered collimated light, which is then Rayleigh filtered and focused using a singlet lens into a stacked fiber bundle connected to a customized spectrograph, which separates the individual spectra from the scattered wavelengths using a hybrid diffraction grating for collection onto spectra-specific sections of an array photodetector to measure spectral intensity and thereby identify one or more compounds in the sample.",False
26,Optomechanical laser for dynamic measurement,2018,"An optomechanical laser includes: a basal member; a mechanical transducer; a laser disposed on the mechanical transducer, the laser being displaced along the displacement axis in response to a displacement of the mechanical transducer relative to the basal member; a mirror disposed on the armature in optical communication with the laser and opposing the laser; the armature disposed on the basal member and rigidly connecting the mirror to the basal member such that the mirror and the armature move in synchrony with the basal member, and the armature provides a substantially constant distance between the basal member and the mirror; and a cavity comprising: the laser; the mirror; and a cavity length between the laser and the mirror that changes in response to displacement of the laser according to the displacement of the mechanical transducer relative to the basal member, the optomechanical laser providing laser light.",False
27,Swine influenza viruses and constructs and uses thereof,2018,"Disclosed are compositions and methods comprising vectors and a reverse genetics competent unit comprising one or more recombinant influenza viruses. Recombinant influenza viruses comprising swine RNA polymerase I promoter are disclosed. Constructs comprising swine RNA polymerase I promoter nucleic acid sequences are also provided. Methods of inducing protecting immunity with the recombinant influenza viruses are disclosed. In certain embodiments, the reverse genetics competent unit comprises pathogenic units necessary for producing pathogens de novo from a nucleotide-based vector for influenza virus in swine.",True
28,Plasmon-enhanced terahertz graphene-based photodetector and method of fabrication,2018,"A plasmon-enhanced terahertz graphene-based photodetector exhibits an increased absorption efficiency attained by utilizing a tunable plasmonic resonance in sub-wavelengths graphene micro-ribbons formed on SiC substrate in contact with an array of bi-metallic electrode lines. The orientation of the graphene micro-ribbons is tailored with respect to the array of sub-wavelengths bi-metallic electrode lines. The graphene micro-ribbons extend at the angle of approximately 45 degrees with respect to the electrode lines in the bi-metal electrodes array. The plasmonic mode is efficiently excited by an incident wave polarized perpendicular to the electrode lines, and/or to the graphene micro-ribbons. The absorption of radiation by graphene is enhanced through tunable geometric parameters (such as, for example, the width of the graphene micro-ribbons) and control of a carrier density in graphene achieved through tuning the gate voltage applied to the photodetector.",False
29,Apparatus and method for use in analyzing a patient'S bowel,2018,"An apparatus and method are provided for use in studying a patient's bowel which combines recording and analysis of physiologic parameters and patient sensory perception. A pain input detector, a pain transducer, and a processor are provided. A gas pressure transducer and flow meter may also be provided. Output data may be generated to reflect perceived patient pain, volume of gas delivered to the patient's bowel, and bowel pressure. An indication of perceived patient pain is processed by the processor to generate data that may used to validate a scan of a patient or may be used as a diagnostic tool.",False
30,"C-17-heteroaryl steroidal CYP17 inhibitors/antiandrogens, in vitro biological activities, pharmacokinetics and antitumor activity",2018,"Described are steroidal C-17 benzoazoles, pyrimidinoazoles (azabenzoazoles) and diazines. Methods for their synthesis are also described, which include methods having a step of nucleophilic vinylic “addition-elimination” substitution reaction of 3β-acetoxy-17-chloro-16-formylandrosta-5,16-diene or analogs thereof and benzoazole or pyrimidinoazole nucleophiles and methods having a palladium catalyzed cross-coupling reaction of 17-iodoandrosta-5,16-dien-3β-ol or analogs thereof with tributylstannyl diazines. The compounds are potent inhibitors of human CYP17 enzyme as well as potent antagonists of both wild type and mutant androgen receptors (AR). The compounds are useful for the treatment of human prostate cancer.",True
31,Bridgeless resonant AC-DC converters and systems and control systems therefor,2018,An AC-to-DC converter includes a multi-resonant switching circuit including an AC-AC stage soft-switched LC network that converts a low-frequency low-amplitude alternating input voltage into a higher-frequency higher-amplitude alternating voltage and an AC-DC stage rectifying the higher-frequency higher-amplitude alternating voltage into a DC output voltage via a soft-switched diode. An AC-to-DC converter system includes at least two multi-resonant switching circuits that include at least two AC-AC stages and an AC-DC stage. A control system for the AC-to-DC converter includes at least two resonant gate drivers that each includes: one MOSFET gate configured to transmit a gate voltage signal to an AC-to-DC converter; an on/off logic module electrically coupled to the MOSFET gate; a resonant tank LC circuit electrically coupled to the on/off logic module; and a voltage bias module electrically coupled to the resonant tank LC circuit.,False
32,Therapy regimen and methods to sensitize cancer cells treated with epigenetic therapy to PARP inhibitors in ovarian cancer,2018,The presently disclosed subject matter provides methods to treat cancer cells using low doses of DNA demethylating agents and poly ADP ribose polymerase (PARP) inhibitors. Methods also are provided for sensitizing a cell to a PARP inhibitor.,True
33,Therapy regimen and methods to sensitize cancer cells treated with epigenetic therapy to PARP inhibitors in lung cancer,2018,The presently disclosed subject matter provides methods to treat cancer cells using low doses of DNA demethylating agents and poly ADP ribose polymerase (PARP) inhibitors. Methods also are provided for sensitizing a cell to a PARP inhibitor.,True
34,Microfluidic chip for analysis of cell motility and methods for using same,2018,The present invention describes an integrated apparatus that enables identification of migratory cells directly from a specimen. The apparatus only requires a small number of cells to perform an assay and includes novel topographic features which can reliably differentiate between migratory and non-migratory cell populations in a sample. Both the spontaneous and chemotactic migration of cancer cells may be measured to distinguish between subpopulations within a tumor sample. The migratory cells identified using the apparatus and methods of the present invention may be separated and further analyzed to distinguish factors promoting metastasis within the population. Cells in the apparatus can be treated with chemotherapeutic or other agents to determine drug strategies to most strongly inhibit migration. The use of optically transparent materials in some embodiments allows a wide range of imaging techniques to be used for in situ imaging of migratory and non-migratory cells in the apparatus. The apparatus and methods of the present invention are useful for predicting the metastatic propensity of tumor cells and selecting optimal drugs for personalized therapies.,False
35,"One dimensional photonic crystals for enhanced fluorescence based sensing, imaging and assays",2018,"Techniques for enhanced fluorescence include a functionalized substrate for a target optical frequency comprising a one dimensional photonic crystal that is functionalized with a bioactive target molecule that has an affinity for a particular analytic. The one dimensional photonic crystal includes a plurality of dielectric layers including a plurality of high index of refraction layers alternating with a plurality of low index of refraction layers. The thickness of each layer is within a factor of four of a wavelength of the optical frequency in the layer. For emissions from a fluorophore bound to the target molecule and excited by incident light, there is an emission intensity maximum centered at an angle independent of the direction of the incident light.",False
36,Thermoelastic cooling,2018,"A cooling system based on thermoelastic effect is provided. The system comprises a heat sink, a refrigerated space and a regenerator coupled to the refrigerated space and to the heat sink to pump heat from the refrigerated space to the heat sink. The regenerator comprises solid thermoelastic refrigerant materials capable of absorbing or releasing heat.",False
37,Systems and methods for time-reversal division multiple access wireless broadband communications,2018,"There is provided a communication system including a transmitting section and a receiving section which includes a plurality of receivers. The transmitting section includes a communication unit which receives a plurality of signals respectively from the plurality of receivers, and stores a plurality of time-reversed signals corresponding to the received plurality of signals with respect to the plurality of receivers, and a first conversion unit which converts, by a first factor, a plurality of information sequences to be respectively transmitted to the plurality of receivers and forward the plurality of converted information sequences to the communication unit. The communication unit generates, based on the plurality of converted information sequences, a plurality of output signals to be respectively transmitted to the plurality of receivers, each of the plurality of the output signals including a location-specific signature unique to the corresponding receiver.",False
38,Linked diaryl compounds with anticancer properties and methods of using the same,2018,Provided are compositions comprising linked diaryl compounds that possess anticancer properties. Methods of use are also disclosed herein. The method comprises administering an effective amount of a compound described herein to an individual in need thereof.,True
39,Method of producing infertile fish and egg-producing aquatic animals and of delivering compounds into eggs and embryos,2018,"Methods for the production of reproductively sterile fish and aquatic animals for aquaculture, the aquarium trade, and control of invasive species are described. The methods include disruption of gonadal development through the administration of compounds that lead to the failure of fertile gonadal development. Compounds may be delivered to the eggs prior to fertilization or water activation or post fertilization and water activation by contacting unfertilized or pre-water-activated fertilized eggs or fertilized eggs in an immersion medium including the compound of interest. Compounds may be conjugated with a molecular transporter compound effective for chorionic transport of the conjugate. The compounds may be antisense Morpholino oligomers that are capable of effectively suppressing the expression of the dead end gene or other essential genes for germ cell development in fish and other egg-producing aquatic animals.",True
40,Device having an array of sensors on a single chip,2018,"A nanostructure sensing device comprises a semiconductor nanostructure having an outer surface, and at least one of metal or metal-oxide nanoparticle clusters functionalizing the outer surface of the nanostructure and forming a photoconductive nanostructure/nanocluster hybrid sensor enabling light-assisted sensing of a target analyte.",False
41,Practical dynamic proofs of retrievability with multiple buffers,2018,"Certain embodiments of the present invention involve a method of storing an erasure coded copy of block data, and storing newly updated block data into a separate erasure-coded log structure. The method also includes auditing both the erasure copy of block data and the newly updated block data. The erasure copy of block data and the newly updated block data are probabilistically checked during the audit. In certain other embodiments the newly updated block data is stored in a log structure.",False
42,Expandable endoscopic device,2018,"Provided herein are expandable endoscopic devices. In accordance with certain aspects of an embodiment of the invention, an endoscopic expandable device is disclosed that comprises an expandable jaw at the distal tip, a control wire connected to the jaw, a sheath enclosing the control wire, and a handle connected to the sheath or wire having an actuating trigger. The expandable jaw is configured to allow its delivery in a retracted configuration to a target site within a patient's body through the working channel of an endoscope, after which the jaw may reconfigure to an expanded configuration that is larger than the retracted configuration. This allows the expandable jaw to be easily delivered to the target site while allowing an operable jaw size that is larger than would be allowed if limited to size of the working channel. The expandable jaw of the endoscopic expandable device may optionally be detachable from the sheath, in which case a jaw release mechanism may also be provided and controlled from the handle. The endoscopic expandable device described herein may, in accordance with certain aspects of the invention, have utility as a clip, and may, in accordance with further aspects of the invention, have utility as forceps. Also disclosed are methods of using the devices identified above.",False
43,Mid-infrared cascading fiber amplifier and method for amplification thereof,2018,"A mid-infrared cascading fiber amplifier device having a source configured to generate a first electromagnetic wave output at a first frequency, a fiber coupled to the source and a pump coupled to the fiber and configured to generate a second electromagnetic wave output at a second frequency, wherein the second frequency is higher than the first frequency and causes the fiber to undergo two or more transitions in response to stimulation by the first electromagnetic wave output at the first frequency, wherein the first transition generates the first electromagnetic wave output approximately at the first frequency and the second transition generates the first electromagnetic wave output approximately at the first frequency.",False
44,Targeting NCCA-ATP channel for organ protection following ischemic episode,2019,"The present invention concerns protection of an organ or tissue outside of the central nervous system following an ischemic episode. In particular aspects, the invention concerns organ preservation for transplantation, angina pectoris, kidney reperfusion injury, and so forth. In specific embodiments, the organ is subjected to an inhibitor of an NCCa-ATP channel that is regulated by SUR1. Exemplary inhibitors include sulfonylurea compounds, such as glibenclamide, for example.",True
45,Method for manufacturing an array of sensors on a single chip,2019,"A nanostructure sensing device comprises a semiconductor nanostructure having an outer surface, and at least one of metal or metal-oxide nanoparticle clusters functionalizing the outer surface of the nanostructure and forming a photoconductive nanostructure/nanocluster hybrid sensor enabling light-assisted sensing of a target analyte.",False
46,Annotation of endoscopic video using gesture and voice commands,2019,The invention relates to annotating live video during endoscopy medical procedures.,True
47,"Low-noise, ultra-low temperature dissipative devices",2019,"A dissipative device has a planar configuration with one or more resistor elements formed on an insulating substrate. Conductors are formed on the insulating substrate and are coupled to the resistor element(s) to transmit signals to/from the resistor element(s). The geometry of and materials for the dissipative device allow the conductors to act as heat sinks, which conduct heat generated in the resistor element(s) to the substrate (and on to a coupled housing) and cool hot electrons generated by the resistor element(s) via electron-phonon coupling. The dissipative device can be used in cooling a signal to a qubit, a cavity system of a quantum superconducting qubit, or any other cryogenic device sensitive to thermal noise.",False
48,Advanced functional biocompatible polymeric matrix used as a hemostatic agent and system for damaged tissues and cells,2019,"A hemostatic tissue sealant sponge and a spray for acute wounds are disclosed. The sponge comprises hydrophobically modified polymers that anchor themselves within the membrane of cells in the vicinity of the wound. The seal is strong enough to substantially prevent the loss of blood inside the boundaries of the sponge, yet weak enough to substantially prevent damage to newly formed tissue upon recovery and subsequent removal of the sponge. In examples, the polymers inherently prevent microbial infections and are suitable for oxygen transfer required during normal wound metabolism. The spray comprises hydrophobically modified polymers that form solid gel networks with blood cells to create a physical clotting mechanism to prevent loss of blood. In an example, the spray further comprises at least one reagent that increases the mechanical integrity of the clot. In another example, the reagent prevents microbial infection of the wound.",True
49,Soldered components for downhole use,2019,"The disclosure describes soldering a first component (200) to a second component (226) for use in a downhole circuit, device and/or tool. The first component (200) includes an electrically conductive contact region (402) finished with a metallic finish layer (404). The soldering includes disposing a layer of manganese (408) adjacent to the metallic finish layer (404), and applying solder (406) to the layer of manganese (408). The solder (406) used in the soldering of the two components is a mixture of copper, silver and tin.",False
50,Ultraviolet Sterilizing Drainage Catheter,2019,"A device disclosed herein includes a tubular member which is flexible and configured to receive ultraviolet (UV) light from a UV illumination coupler. The tubular member contains a lumen defining a longitudinal interior space within the tubular member, a tubular body bounded by an inner wall defining an outer boundary of the lumen and an outer wall defining an outer surface of the tubular member, at least one optical fiber disposed outside of the interior space not parallel to an axis of the lumen and adapted to receive the UV light from the UV illumination coupler, and a protective component adapted to prevent substantively all of the UV light emitted from the optical fiber from exiting the outer wall. Methods for producing and using such devices are also disclosed herein.",False
51,Generation and trapping of aqueous droplets in a microfluidic chip with an air continuous phase,2019,"The invention relates to a method and system for generating droplets of an aqueous solution on a microfluidic chip with an air continuous phase. Specifically, the droplet generator according to the present invention is integrated into a microfluidic chip to generate and introduce droplets of an aqueous solution into the microfluidic chip. The droplets travelling in a network of chip channels may be captured in on-chip traps in a manner defined by hydrodynamic resistances of chip channels. A biological reaction may be performed on a droplet trapped on the microfluidic chip.",False
52,Methods of fabricating solid oxide fuel cells,2019,"In various embodiments, a solid oxide fuel cell is fabricated in part by disposing a functional layer between the cathode and the solid electrolyte.",False
53,Efficient mucosal vaccination mediated by the neonatal Fc receptor,2019,"The present invention relates to methods and compositions for enhancing delivery of vaccine antigens to the mucosal epithelium, the composition comprising an antigen from an infectious agent fused with an Fc fragment of an immunoglobulin recognized by the neonatal receptors (FcRn). The composition is effective in eliciting a protective long-term memory T cell immune response against infection at a distant mucosal site.",True
54,Blood oxygenator,2019,"A blood oxygenator is disclosed comprising a housing, a blood inlet, a blood outlet, a spiral volute, a gas inlet, an oxygenator fiber bundle, and a gas outlet. The housing encloses the fiber bundle and provides the structure for the blood flow path and connectors. The fiber bundle comprises gas-exchange membranes which transfer oxygen to the blood and remove carbon dioxide when the blood flows across the membranes. The spiral volute guides the blood to flow through the fiber bundle. A gas flow chamber receives sweep gas containing oxygen and distributes the sweep gas into the fiber membranes, which gas is then exchanged with the blood being oxygenated.",True
55,Targeted delivery of imaging probes for in vivo cellular imaging,2019,"The present invention relates to nitroxide imaging probes that are isotopically modified or unmodified. Such nitroxide imaging probes may be included in liposomes that encapsulate self-quenching concentrations thereof, wherein the liposomes optionally comprise a targeting ligand specific to and having affinity for targeted tissue.",True
56,Simultaneous solution for sparsity and filter responses for a microphone network,2019,"Placement of microphones and design of filters in a microphone network are solved simultaneously. Using filterbanks with multiple sub-channels for each microphone, the design of the filter response is solved simultaneously with placement. By using an objective function that penalizes the number of sub-channels in any solution, only some of many possible sub-channels and corresponding microphones and filters are selected while also solving for the filter responses for the selected sub-channels. For a given target location, the location of the microphones and the filter responses to beamform are optimized.",False
57,Immunoglobulin constant region Fc receptor binding agents,2019,"IVIG replacement compounds are derived from recombinant and/or biochemical creation of immunologically active biomimetic(s). These replacement compounds are then screened in vitro to assess each replacement compound's efficiency at modulating immune function. Particular replacement compounds are selected for further in vivo validation and dosage/administration optimization. Finally, the replacement compounds are used to treat a wide range of diseases, including inflammatory and autoimmune diseases.",True
58,Coaptation ultrasound devices and methods of use,2019,"Disclosed is a system and method for the placement of elongate medical members within a patient's body using coaptive ultrasound that combines magnetic guidance with ultrasound visualization of the medical member in the patient's body. A coaptive ultrasound probe adaptor magnetically attracts an elongate medical member within the patient with sufficient force so as to allow the operator to manually guide the member to its intended location. The adaptor mates with an ultrasound probe to provide the medical operator ultrasound feedback of the position of the member, thus allowing internal placement without the need for more specialized medical equipment.",False
59,"Design, synthesis and methods of use of acyclic fleximer nucleoside analogues having anti-coronavirus activity",2019,"The present invention is directed to compounds, methods and compositions for treating or preventing viral infections using nucleosides analogs. Specifically, the present invention provides for the design and synthesis of acyclic fleximer nucleoside analogues having increased flexibility and ability to alter their conformation structures to provide increased antiviral activity potential with the result of inhibiting several coronaviruses.",True
60,Compounds for treating parasitic infections,2019,"Compounds and compositions comprising them are provided. The compounds and compositions are useful for inhibiting transport of heme across membranes in parasitic heme auxotrophic organisms, thereby limiting their growth or killing the parasites.",True
61,"System and method for proximity-based position, movement and gesture detection using capacitive sensor arrays",2019,"Systems and methods for proximity-based position, movement and gesture detection are provided that utilize capacitive sensor arrays. In one embodiment, the system utilizes textile-based capacitive sensor arrays that can be integrated into other textiles, such as clothing, bed linens, etc., or that can be integrated into the environment (e.g., furniture, wheelchairs, car seats, etc.). The system recognizes gestures from detected movement by utilizing hierarchical signal processing techniques.",False
62,Transient liquid phase sinter pastes and application and processing methods relating thereto,2019,"The present invention relates to transient liquid phase sinter pastes for electronic interconnects, and sinter paste application and processing methods.",True
63,Micro-fluidic mixer and method of determining pathogen inactivation via antimicrobial solutions,2019,"A sample of produce wash water containing an antimicrobial sanitizer fluid, and a reference pathogen fluid are both injected into a pathogen inactivation region of a micro-fluidic mixer. The produce wash water (i.e. sanitizer fluid/pathogen fluid mix) is directed through mixer elements in the pathogen inactivation region of the micro-fluidic mixer. In the sanitizer deactivation region, a sanitizer deactivation solution is added to the sanitizer fluid/pathogen fluid mix to produce a deactivated solution. The deactivated solution is evaluated for the presence of the pathogen and the characteristics of the sanitizer. In the preferred embodiment, the sanitizer comprises chlorine and the pathogen comprises E. coli bacteria.",False
