status_id,code,text,is_quote,is_retweet,quoted_text,retweet_text
ID_1233898303084826625,1,No doubt ⁦@TerrapinHoops⁩ is ready for ⁦@CollegeGameDay⁩ https://t.co/Fj2uXbm5X9,FALSE,TRUE,NA,No doubt ⁦@TerrapinHoops⁩ is ready for ⁦@CollegeGameDay⁩ https://t.co/Fj2uXbm5X9
ID_1238138004667056137,2,"Statement from Mark Turgeon: ""I understand and respect the conference's decision to cancel this year's Big Ten tournament. The health and safety of our student-athletes and entire program is paramount. This is an unprecedented situation that is much bigger than basketball. ...",FALSE,TRUE,NA,"Statement from Mark Turgeon: ""I understand and respect the conference's decision to cancel this year's Big Ten tournament. The health and safety of our student-athletes and entire program is paramount. This is an unprecedented situation that is much bigger than basketball. ..."
ID_1238215979534028805,1,"Thanks for everything, @AnthonyCowanJr. I’m a Gonzaga  grad, never pulled for a St John’s guy as much as you! Best of luck!@SJCAthletics @GonzagaGoodNews @TerrapinHoops #FearTheTurtle 🐢🏀💥",FALSE,FALSE,NA,NA
ID_1238438302224539648,1,"Thank You, Terp Nation https://t.co/13gSYdNc6K",FALSE,TRUE,NA,"Thank You, Terp Nation https://t.co/13gSYdNc6K"
ID_1233956220924497923,2,Crabcakes and.....what?,TRUE,FALSE,Maryland football vs. Maryland basketball https://t.co/STQfpoyrMO,NA
ID_1233923195142578177,3,@agehring91 is there anything more Maryland basketball than having game day ranked number 9 at home in prone time and going down 14-2,FALSE,FALSE,NA,NA
ID_1237408141408698368,2,"My breakdown of @TerpsFootball running back (my rb5) Anthony McFarland on the @GoingFor_2 War Room

#NFLDraft #NFL
#NFLCombine #NFLTwitter
#draftpack #NFLDraftNews #Terps
#maryland

https://t.co/EnIrffxzMS",FALSE,TRUE,NA,"My breakdown of @TerpsFootball running back (my rb5) Anthony McFarland on the @GoingFor_2 War Room

#NFLDraft #NFL
#NFLCombine #NFLTwitter
#draftpack #NFLDraftNews #Terps
#maryland

https://t.co/EnIrffxzMS"
ID_1233914244158148608,2,"About 20 minutes ahead of Maryland’s first College Gamday in over a decade. They’ll be looking to sweep the season series against the Spartans.

Here’s my preview for @WMUCSports:

https://t.co/w8q0Cv2ZLd",FALSE,TRUE,NA,"About 20 minutes ahead of Maryland’s first College Gamday in over a decade. They’ll be looking to sweep the season series against the Spartans.

Here’s my preview for @WMUCSports:

https://t.co/w8q0Cv2ZLd"
ID_1238436797207773186,1,@TerrapinHoops Awesome team! @Aaron_Wiggins_ Congrats on a great season!,FALSE,FALSE,NA,NA
ID_1236781096311894016,2,@principalskinn7 @marchmadness @umterps @TerrapinHoops You were saying,FALSE,FALSE,NA,NA
ID_1238501599695208448,4,#happyfridaythe13th #fridaythe13th #rap #hiphop #lasvegashiphop #lasvegaslife  #medicalmarijuana #lasvegascannabiscommunity #pothead #pot #weed #trees #ganja #lsd #mdma #mushrooms #dmt #thc #thca #terpenes #terps… https://t.co/aaMkyNSDyH,FALSE,FALSE,NA,NA
ID_1235594260906459136,1,@marchmadness @NaismithTrophy @KUHoops @DukeMBB @Aztec_MBB @IowaHoops @MarquetteMBB @SetonHallMBB @OregonMBB @TerrapinHoops @DaytonFlyers Garza all the way https://t.co/IjOdEg7KS2,FALSE,FALSE,NA,NA
ID_1233884086953037824,4,"#Illini commit Adam Miller &amp; Morgan Park teammate Brandon Weston will be in Champaign tomorrow for Illinois-Indiana.

Miller is trying to get the top-75 forward to follow the path to Illinois. Big visit for Underwood &amp; Co.  

https://t.co/L6RXkQobfj",FALSE,TRUE,NA,"#Illini commit Adam Miller &amp; Morgan Park teammate Brandon Weston will be in Champaign tomorrow for Illinois-Indiana.

Miller is trying to get the top-75 forward to follow the path to Illinois. Big visit for Underwood &amp; Co.  

https://t.co/L6RXkQobfj"
ID_1236731889366568960,1,"WE GOT A TROPHY BITCHEZZZ
What a way to close out my time at UMD! So immensely proud of the work that these guys have put in to capture this title. On to the NCAA’s!! #Terps",TRUE,FALSE,RAISE IT UP!! 🏆 https://t.co/FLNR8aJ34h,NA
ID_1236810369198444550,2,Local RB @r_h3mby visited the hometown #Terps this weekend and has Maryland trending after the trip. He discusses: https://t.co/xOolxTphsE,FALSE,FALSE,NA,NA
ID_1236722644327772160,1,"An all-time @TerrapinHoops great. Thank you, @AnthonyCowanJr.
https://t.co/IvGf6tFDIC",FALSE,FALSE,NA,NA
ID_1236912680985903104,1,#FearTheTurtle #FTT 🐢 #B1G #B1GMBBall 🏀 #ScholarAthleteVenture https://t.co/hhK6dErloI,TRUE,FALSE,"Answer to a future trivia question: @CoachTurgeon, the first coach to lead @TerrapinHoops to a B1G title. https://t.co/lE9QTdb9Si",NA
ID_1233977898853453825,1,Great job today :),TRUE,FALSE,"Recaps 4-1 
NCAA Basketball 2-1 
Duke vs Uva Under 124.5  ✅✅
Dep vs But  Over 135 ❌❌
MSU vs MD Over 138  ✅✅
NBA  2-0 
Bkn vs Mia Over 218  ✅✅
Hou vs Bos under 232  ✅✅✅
#overnundergirl #gambler #handicapper #gambling #NBA #NCAAB  #sportsbettor https://t.co/1azLWRdXtO",NA
ID_1236719583517650951,1,YOUR MARYLAND TERRAPINS ARE BIG TEN BASKETBALL CHAMPIONS,FALSE,TRUE,NA,YOUR MARYLAND TERRAPINS ARE BIG TEN BASKETBALL CHAMPIONS
ID_1233955425072173056,2,https://t.co/2EighbCe9Z,TRUE,TRUE,Terps by a million. Let’s go.,https://t.co/2EighbCe9Z
ID_1238277719323901952,3,the ONE year in recent times that Maryland basketball had a chance to win it all and it gets taken away from us by a pandemic virus you haVE GoT tO Be KidDiNG mE,FALSE,FALSE,NA,NA
ID_1236750236980297729,1,@TerrapinHoops Congrats cuz... one hell of career!,FALSE,FALSE,NA,NA
ID_1238220415891394568,1,@TerrapinHoops Loved this team so sad it’s over,FALSE,FALSE,NA,NA
ID_1233962230422568961,2,@TerrapinHoops https://t.co/MDR83iWr7W,FALSE,FALSE,NA,NA
ID_1236812583367323649,1,A huge win for the Terps today and what an honor to raise up this trophy at home!! Congrats @TerrapinHoops! Proud to be part of #ONEMaryland! Get ready to dance Terps 🐢🎉,TRUE,TRUE,RAISE IT UP!! 🏆 https://t.co/FLNR8aJ34h,A huge win for the Terps today and what an honor to raise up this trophy at home!! Congrats @TerrapinHoops! Proud to be part of #ONEMaryland! Get ready to dance Terps 🐢🎉
ID_1233942488462786561,3,@svhill11 @youngnastyaka @TerrapinHoops Honestly. They always end up playing one half and it’s brutal,FALSE,FALSE,NA,NA
ID_1236695033337831431,4,"#GamblingTwitter #MarchMadness #Terps #wolverines #ncaa #parlays 

Like i said.. soon as you join you are@making money.. subscriber joins Thursday and goes 18-5 first 3 days.. doubles his unit values https://t.co/eqt8y6pj1t",FALSE,TRUE,NA,"#GamblingTwitter #MarchMadness #Terps #wolverines #ncaa #parlays 

Like i said.. soon as you join you are@making money.. subscriber joins Thursday and goes 18-5 first 3 days.. doubles his unit values https://t.co/eqt8y6pj1t"
ID_1236093313003991047,4,"🚨 BUBBA BLAST 🚨

His sixth hit of the day ties the school record and leaves the ballpark 🤯

B8 | #Terps 14, Bulldogs 3

#DirtyTerps https://t.co/dYLshg4Rxu",FALSE,TRUE,NA,"🚨 BUBBA BLAST 🚨

His sixth hit of the day ties the school record and leaves the ballpark 🤯

B8 | #Terps 14, Bulldogs 3

#DirtyTerps https://t.co/dYLshg4Rxu"
ID_1236084880750137344,4,Plumber’s Joint with some juicypapers to get the weekend started 😁  #hemp #hempflower #organic #cbd #cbdflower  #cannabis #cannabiscommunity #bud #cbdbud #happybudzhemp  #terpenes #terps  #artofrolling #joints… https://t.co/ybJRwQ8hCx,FALSE,FALSE,NA,NA
ID_1236741720139800577,1,"""This is what it's all about!""

Raise that trophy @TerrapinHoops! 🏆 https://t.co/CjKEfG4RXx",FALSE,TRUE,NA,"""This is what it's all about!""

Raise that trophy @TerrapinHoops! 🏆 https://t.co/CjKEfG4RXx"
ID_1236702049766703104,2,@theleahray @LibertyMBB_ @TerrapinHoops @MWarnerTV If we get a 13 seed I am writing the committee lol,FALSE,FALSE,NA,NA
ID_1233935607744749568,1,@ILuvKaraoke @TerrapinHoops There is an article in the Washington Post breaking down each of our comebacks this season that have given us ulcers.. haha its a good read. so stressful every game,FALSE,FALSE,NA,NA
ID_1236784286646272000,2,Anthony Cowan Jr. and Mark Turgeon butted heads all the way to a Big Ten title https://t.co/aIa7cYuYBG,FALSE,FALSE,NA,NA
ID_1236853122212990977,1,Doesn’t matter the gender. Maryland runs Big Ten Basketball,TRUE,TRUE,"YOUR BIG TEN TOURNAMENT CHAMPS!!!

🏆🏆🏆🏆

#UnitedPursuit https://t.co/AEFJqiq2TQ",Doesn’t matter the gender. Maryland runs Big Ten Basketball
ID_1238202703773184001,3,ONCE AGAIN ANOTHER EARLY EXIT FROM MARK TURGEON IN THE NCAA TOURNAMENT SMH,FALSE,TRUE,NA,ONCE AGAIN ANOTHER EARLY EXIT FROM MARK TURGEON IN THE NCAA TOURNAMENT SMH
ID_1236788966667542537,2,B1G shoutout to @PKaFairy for spending his 50th wedding anniversary at Xfinity Center with the Maryland basketball team🤩🤩 https://t.co/grW5uBJyTp,FALSE,FALSE,NA,NA
ID_1236680625924562951,2,Maryland vs Michigan Basketball Live Streaming Video 08-Mar - USA - NCAAB https://t.co/bkWmj4GQRz https://t.co/90xhdn7ito,FALSE,FALSE,NA,NA
ID_1236775723534290950,4,Congrats to TITANS Basketball for making the FINAL FOUR! Headed to U of MD. Defeated Liberty Hogh School #BCPS #MPSSAA #TITANS #SUPPORT #MOREWORK2DO https://t.co/gssq081Vm2,FALSE,TRUE,NA,Congrats to TITANS Basketball for making the FINAL FOUR! Headed to U of MD. Defeated Liberty Hogh School #BCPS #MPSSAA #TITANS #SUPPORT #MOREWORK2DO https://t.co/gssq081Vm2
ID_1233941032838074369,3,I’d be fine with firing Turgeon right now. This team is embarrassing. I’d be shocked if they make it to the second week or the tourney. What a complete joke. #terps,FALSE,FALSE,NA,NA
ID_1236731024509468677,2,"Maryland coach Mark Turgeon earns a $50,000 for earning at least a share of the Big Ten regular season title.

Maryland's assistant coaches each receive a $7,500 bonus.",FALSE,TRUE,NA,"Maryland coach Mark Turgeon earns a $50,000 for earning at least a share of the Big Ten regular season title.

Maryland's assistant coaches each receive a $7,500 bonus."
ID_1236750439409950723,1,Maryland basketball just keeps winning this Sunday,TRUE,FALSE,Jake Layman went up and caught a body on Derrick Favors 💀 https://t.co/Pa2VQXb3aC,NA
ID_1235795699146596352,2,"Johns Hopkins will host its NCAA Division III 1st and 2nd round games in an empty arena, after recent coronavirus cases in Maryland. @NBC12 

https://t.co/gA8cJ6qpvb",FALSE,TRUE,NA,"Johns Hopkins will host its NCAA Division III 1st and 2nd round games in an empty arena, after recent coronavirus cases in Maryland. @NBC12 

https://t.co/gA8cJ6qpvb"
ID_1233971176080277506,3,@CoachNegative @CoachTurgeon @team980 @TerrapinHoops He needs to be fired https://t.co/9JEVW2BXkS,FALSE,FALSE,NA,NA
ID_1236720100516003840,1,"Terrapins going to Atlanta, again! #Terps #BigDancing #Truss",FALSE,FALSE,NA,NA
ID_1233918864368504832,3,It feels like the entirety of the hospitality staff in CP was woefully under prepared for the shit show that is this game. #terps,FALSE,FALSE,NA,NA
ID_1238492183256338432,2,The Big Ten Conference is walking back their initial cancellation of all spring sports through the academic year. Now suspended until April 6 and will  re-evaluate then. Statement: #Terps @WMAR2News https://t.co/vw02r2W4am,FALSE,TRUE,NA,The Big Ten Conference is walking back their initial cancellation of all spring sports through the academic year. Now suspended until April 6 and will  re-evaluate then. Statement: #Terps @WMAR2News https://t.co/vw02r2W4am
ID_1238152780096901122,1,@JerseyTerp @jtLOL Lol yeah. Ps - go Terps!,FALSE,FALSE,NA,NA
ID_1236732366959280130,1,Congrats to the Big 10 Regular Season Champions @TerrapinHoops &amp; Bowie native Anthony Cowan Jr.! I look forward to watching you go all the way in the Conference &amp; NCAA Tournaments. #FearTheTurtle,TRUE,FALSE,🐢 BIG TEN CHAMPIONS 🐢 https://t.co/emZ20oudWf,NA
ID_1238218238074458112,2,BREAKING: The Big Ten Conference men's basketball tournament has been cancelled. The #Terps were the No. 3 seed. I would be shocked if the NCAA Tournament is still played. @WMAR2News,FALSE,TRUE,NA,BREAKING: The Big Ten Conference men's basketball tournament has been cancelled. The #Terps were the No. 3 seed. I would be shocked if the NCAA Tournament is still played. @WMAR2News
ID_1236719924153856004,3,@BetsJonny @marchmadness @umterps @TerrapinHoops Who frickin cares about wisconsin,FALSE,FALSE,NA,NA
ID_1235588942038261762,2,"@marchmadness @NaismithTrophy @KUHoops @DukeMBB @Aztec_MBB @IowaHoops @MarquetteMBB @SetonHallMBB @OregonMBB @TerrapinHoops @DaytonFlyers Toppin, Garza, or Powell will win it.",FALSE,FALSE,NA,NA
ID_1236751748603183106,2,"A little birdie told me Chase Young was at the #Terps game today, first title of many he’s gonna see in DC??? #Redskins",FALSE,TRUE,NA,"A little birdie told me Chase Young was at the #Terps game today, first title of many he’s gonna see in DC??? #Redskins"
ID_1238296041780322305,1,"Thank You, Terp Nation https://t.co/13gSYdNc6K",FALSE,TRUE,NA,"Thank You, Terp Nation https://t.co/13gSYdNc6K"
ID_1233953162010251266,3,@DaceyTed @benjholler @TerrapinHoops I’d think that if we were 29-0 you’d still not be satisfied.,FALSE,FALSE,NA,NA
ID_1236796642562437126,1,@CoachTurgeon @TerrapinHoops Great win. Keeps those kids hungry and focused. We have a real shot at making a run in the tourney,FALSE,FALSE,NA,NA
ID_1237368548185509889,2,"My breakdown of @TerpsFootball running back (my rb5) Anthony McFarland on the @GoingFor_2 War Room

#NFLDraft #NFL
#NFLCombine #NFLTwitter
#draftpack #NFLDraftNews #Terps
#maryland

https://t.co/EnIrffxzMS",FALSE,TRUE,NA,"My breakdown of @TerpsFootball running back (my rb5) Anthony McFarland on the @GoingFor_2 War Room

#NFLDraft #NFL
#NFLCombine #NFLTwitter
#draftpack #NFLDraftNews #Terps
#maryland

https://t.co/EnIrffxzMS"
ID_1236883885264437250,2,Mark Turgeon: “Anthony came back to hang a banner. He gets to hang a banner.”,FALSE,TRUE,NA,Mark Turgeon: “Anthony came back to hang a banner. He gets to hang a banner.”
ID_1236835169610403840,1,YOUR MARYLAND TERRAPINS ARE BIG TEN BASKETBALL CHAMPIONS,FALSE,TRUE,NA,YOUR MARYLAND TERRAPINS ARE BIG TEN BASKETBALL CHAMPIONS
ID_1236724682717626373,3,@BetsJonny @FousekMichael @marchmadness @umterps @TerrapinHoops Talk to us when you’ve won a post WWII national championship you cheese eating clowns. Maryland is the last big ten team to win the tournament. You should be honored we graced this league with our presence.,FALSE,FALSE,NA,NA
ID_1233889783501508608,2,"#Illini commit Adam Miller &amp; Morgan Park teammate Brandon Weston will be in Champaign tomorrow for Illinois-Indiana.

Miller is trying to get the top-75 forward to follow the path to Illinois. Big visit for Underwood &amp; Co.  

https://t.co/L6RXkQobfj",FALSE,TRUE,NA,"#Illini commit Adam Miller &amp; Morgan Park teammate Brandon Weston will be in Champaign tomorrow for Illinois-Indiana.

Miller is trying to get the top-75 forward to follow the path to Illinois. Big visit for Underwood &amp; Co.  

https://t.co/L6RXkQobfj"
ID_1233898642106388480,1,Randy!!!!,TRUE,FALSE,"Maryland gets two runs back on a Randy Bednar double and a Tavan Shahidi RBI groundout

M8 | #Terps 3, Chants 6

#DirtyTerps https://t.co/vJ4Tqu0MHq",NA
ID_1233926152483463168,1,Terps by a million. Let’s go.,FALSE,TRUE,NA,Terps by a million. Let’s go.
ID_1233942711780069376,3,Maryland basketball 🏀. #Shame,FALSE,FALSE,NA,NA
ID_1236853452384460800,1,"DeJulius shows progress in performance at Maryland

@abbyhsnyder's story from today in College Park: https://t.co/LvFot88b5q",FALSE,TRUE,NA,"DeJulius shows progress in performance at Maryland

@abbyhsnyder's story from today in College Park: https://t.co/LvFot88b5q"
ID_1236748508088107009,1,"It took three games, but No. 9 Maryland men’s basketball has finally done it.

With a 83-70 win over No. 25 Michigan, the Terps have claimed a share of the Big Ten championship and finish the regular season with a 24-7 overall record. https://t.co/FuK7NYCoRb",FALSE,TRUE,NA,"It took three games, but No. 9 Maryland men’s basketball has finally done it.

With a 83-70 win over No. 25 Michigan, the Terps have claimed a share of the Big Ten championship and finish the regular season with a 24-7 overall record. https://t.co/FuK7NYCoRb"
ID_1236676150753181699,1,"Seriously, what a huge heart! Thank you, Cowan! They have been so excited for this opportunity! It was so kind of you to share YOUR #SeniorDay with him. We are proud of you! Go, #Terps! #DreamComeTrue #AmazingAnthony 🏀 #ballislife but #KindnessCOWANts ❤️",TRUE,FALSE,When the nicest dude @AnthonyCowan on the planet let’s your son warm up on #SeniorDay for his 13th b’day. @TerrapinHoops @umterps @abgerman https://t.co/DZudcDGhZM,NA
ID_1236751866165370880,2,"Watch Anthony Cowan, Eric Ayala and Aaron Wiggins react following the #Terps' win over Michigan to claim a share of B1G title: https://t.co/5blYSpKu3H",FALSE,FALSE,NA,NA
ID_1236678848827117569,1,@TerrapinHoops @AnthonyCowanJr 🔥🔥🔥,FALSE,FALSE,NA,NA
ID_1236683123196407815,2,Maryland vs Michigan Basketball TV Live Streaming 08-Mar - USA - NCAAB https://t.co/s9qByxfWAv https://t.co/vDYGLc26Hz,FALSE,FALSE,NA,NA
ID_1233958523865878530,3,@ryan_pickle13 @benjholler @TerrapinHoops College game day doesn’t show up every game. This team let the fan see down tonight. Period.,FALSE,FALSE,NA,NA
ID_1236786774925627393,2,@TerrapinHoops @CoachTurgeon https://t.co/I6Hws57Gh5,FALSE,FALSE,NA,NA
ID_1235600564018442246,2,@Jack_Otweets in honor of Liz Warren herself i would like Brenda Frese to coach the Maryland Men’s Basketball team,FALSE,FALSE,NA,NA
ID_1235634361057206272,3,@marchmadness @Hoophall @BYUbasketball @yochilds22 @DaytonFlyers @ZagMBB @KillianTillie @JalenSmith2000 @TerrapinHoops @HailStateMBK @_R1bang_ Lamar Stevens snubbed,FALSE,FALSE,NA,NA
ID_1236883200892440576,2,"“Anthony came back to hang a banner. He gets to hang a banner,"" coach Mark Turgeon said.

https://t.co/Plf3NStJgp",FALSE,TRUE,NA,"“Anthony came back to hang a banner. He gets to hang a banner,"" coach Mark Turgeon said.

https://t.co/Plf3NStJgp"
ID_1238200663957520389,1,Can’t wait to tell my kids the #Terps didn’t lose a single game in the postseason.,TRUE,FALSE,NCAA cancels remaining winter and spring championships:  https://t.co/p4vCzvzmvo https://t.co/yqAHak4HO5,NA
ID_1238296395720929280,1,"Thank You, Terp Nation https://t.co/13gSYdNc6K",FALSE,TRUE,NA,"Thank You, Terp Nation https://t.co/13gSYdNc6K"
ID_1238422915546263553,1,"Thank You, Terp Nation https://t.co/13gSYdNc6K",FALSE,TRUE,NA,"Thank You, Terp Nation https://t.co/13gSYdNc6K"
ID_1236712264490762240,2,@TerrapinHoops https://t.co/hfMDbvU2wR,FALSE,FALSE,NA,NA
ID_1235594924847968256,1,"Four-star sophomore forward @cwiggins30 recaps Maryland visit, says #Terps fans are unlike anything he's ever seen before:
https://t.co/orCk5CyrZq",FALSE,TRUE,NA,"Four-star sophomore forward @cwiggins30 recaps Maryland visit, says #Terps fans are unlike anything he's ever seen before:
https://t.co/orCk5CyrZq"
ID_1236716697039638528,2,"Maryland men’s basketball- Big Ten Champions. 

This is March. https://t.co/FaN8NvuUfv",FALSE,FALSE,NA,NA
ID_1233924172201517056,2,@TerrapinHoops Us vs scoring,FALSE,FALSE,NA,NA
ID_1237977771382538240,1,@lyssiwrld Go Terps! 😁,FALSE,FALSE,NA,NA
ID_1236816648042053632,1,YOUR MARYLAND TERRAPINS ARE BIG TEN BASKETBALL CHAMPIONS,FALSE,TRUE,NA,YOUR MARYLAND TERRAPINS ARE BIG TEN BASKETBALL CHAMPIONS
ID_1238224794606280706,1,"It’s been an honor working alongside you, Andy. I love the coverage we provided on the basketball beat together this year. Great things are ahead for you.",TRUE,FALSE,"My dad took this photo of me after Maryland men’s basketball secured a share of the Big Ten title last week.

Didn’t know it at the time, but that would be my final time covering a Terps game as a student. I loved this job. Loved representing @thedbk. Thanks for following along. https://t.co/h5AH0b8nYE",NA
ID_1233950297233526789,3,Maryland basketball is trash and Anthony Cowan flips. #GoGreen,FALSE,FALSE,NA,NA
ID_1237410515577647104,4,"After winning the Big Ten Tournament this weekend, Maryland women’s basketball has jumped to No. 4 in the AP Poll.

The Terps leapfrogged up from No. 6 and passed UConn and Louisville, who sit at 5th and 6th.",FALSE,TRUE,NA,"After winning the Big Ten Tournament this weekend, Maryland women’s basketball has jumped to No. 4 in the AP Poll.

The Terps leapfrogged up from No. 6 and passed UConn and Louisville, who sit at 5th and 6th."
ID_1233952709465792514,1,@Kato_Kaelin @espn @marchmadness @MSU_Basketball @TerrapinHoops @NCAA LOL! You sure are my friend! #katoappreciation,FALSE,FALSE,NA,NA
ID_1236843848409677826,1,So proud of both Terp Men’s and Women’s 🏀 teams today 😁 What a season!,FALSE,FALSE,NA,NA
